aggregate_energy_kwh,allocation_strategy,comfort_band_c,comfort_violation_count,comfort_violation_degree_minutes,controller,current_saturation_count,experiment_set,feeder_extra_load_kvar,feeder_extra_load_kw,fleet_size,frequency_nadir_hz,frequency_overshoot_hz,inverter_q_max_kvar,inverter_s_rated_kva,max_abs_frequency_deviation_hz,max_aggregate_p_kw,max_aggregate_q_kvar,max_compute_time_ms,max_feeder_voltage_pu,max_pcc_voltage_pu,max_unit_apparent_kva,mean_compute_time_ms,mean_pcc_voltage_pu,measurement_delay_steps,min_feeder_voltage_pu,min_pcc_voltage_pu,mpc_feasibility_rate,ramp_limited_count,reactive_support_kvarh,scenario,tcl_share_percent,temperature_max_c,temperature_min_c,thermal_ambient_temperature_c,thermal_calibration_source,thermal_capacitance_kwh_per_c,thermal_cop,thermal_resistance_c_per_kw,thermal_setpoint_c,voltage_event_type,voltage_sag_pu
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,0.0,0.0,500,59.805159135,0.014840864900001804,2.2,4.0,0.1948408650000033,1000.0000000000002,0.0,0.028999987989664078,1.076961163640929,1.0001414618335638,2.0000000000000004,0.00734628305177797,0.9823933649888908,0,0.9186957940916902,0.9611527291347791,1.0,0.0,0.0,voltage_sag_0.94,28.851702250432776,23.421689690233784,23.417819051935254,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.94
167.7846470869468,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,0.0,0.0,500,59.805159135,0.014836530499209744,2.2,4.0,0.1948408650000033,1000.0000000000002,518.3150016284555,0.015500001609325409,1.074629240986895,0.9992389503119224,2.2268167431182624,0.007024793962617059,0.9842067897524871,0,0.9232082522153966,0.9652769281967295,1.0,0.0,18.385730903587504,voltage_sag_0.94,28.851702250432776,23.421689690233784,23.41782919982808,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.94
101.63302206103666,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,0.0,0.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,0.0,538.9702999964356,1.0746410752671207,1.0028179449048558,2.8334741788542237,231.64307107487,0.987180270820619,0,0.9313630257530854,0.968157823991473,1.0,22.0,0.0,voltage_sag_0.94,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.94
101.6330220610367,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,0.0,0.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,325.71070764724516,565.8044000156224,1.0746410752671207,1.0013040323924565,2.8334741788542237,233.00196198277052,0.9880305513599127,0,0.9342165824935049,0.9707524140861119,1.0,22.0,11.282492627158597,voltage_sag_0.94,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.94
102.00716086457689,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,0.0,0.0,500,59.91015926094531,0.11984088802211801,2.2,4.0,0.11984088802211801,1407.8489597729706,1100.0,838.4155000094324,1.0640645515188873,1.007777555258163,3.491728026733313,551.9407611553872,0.9972933831552021,0,0.9398688157198118,0.9935747492648506,1.0,18.0,117.78048162233053,voltage_sag_0.94,28.851702250432776,23.421689690233784,23.42036191180056,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,source_sag,0.94
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,300.0,600.0,500,59.805159135,0.014840864900001804,2.2,4.0,0.1948408650000033,1000.0000000000002,0.0,0.014699995517730713,1.0746293492416323,0.9974895061036828,2.0000000000000004,0.0066867748598668205,0.988186859470413,0,0.939925417822806,0.98326685938494,1.0,0.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,23.421689690233784,23.417819051935254,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
167.7846470869468,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,300.0,600.0,500,59.805159135,0.014836530499209744,2.2,4.0,0.1948408650000033,1000.0000000000002,0.0,0.05410006269812584,1.0746293492416323,0.9974895061036828,2.0000000000000004,0.006928933160918311,0.9882051349967446,0,0.939925417822806,0.98326685938494,1.0,0.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,23.421689690233784,23.41782919982808,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
101.6330220610367,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,300.0,600.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,0.0,505.6177999358624,1.0746411441820842,0.999554643710064,2.8334741788542237,237.6035677600067,0.9917259259704897,0,0.9413686217055351,0.9842198458838722,1.0,22.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
101.6330220610367,load_proportional,1.0,0.0,0.0,dmpc_pq,0.0,full,300.0,600.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,0.0,533.0327999545261,1.0746411441820842,0.999554643710064,2.8334741788542237,230.61824794127492,0.9917259259704897,0,0.9413686217055351,0.9842198458838722,1.0,22.0,0.0,feeder_stress_600kw_300kvar,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
102.00697598876295,load_proportional,1.0,0.0,0.0,dmpc_full_pq,0.0,full,300.0,600.0,500,59.91015926094531,0.119840888021713,2.2,4.0,0.119840888021713,1408.2800922601423,1099.9999996333797,765.6227999832481,1.0670708922536178,1.007777555258163,3.486854096378322,520.8698247948062,0.9975006582182936,0,0.9562841606471331,0.9945625429517122,1.0,18.0,90.48334457751855,feeder_stress_600kw_300kvar,28.851702250432776,23.421689690233784,23.42036193275656,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
168.05555555555557,load_proportional,1.0,0.0,0.0,no_support,0.0,full,450.0,900.0,500,59.805159135,0.014840864900001804,2.2,4.0,0.1948408650000033,1000.0000000000002,0.0,0.01209997572004795,1.0808227711134,0.9992389503119228,2.0000000000000004,0.006310745673485039,0.988911143852309,0,0.9366748724224953,0.982929819514305,1.0,0.0,0.0,feeder_stress_900kw_450kvar,28.851702250432776,23.421689690233784,23.417819051935254,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
167.78464708694682,load_proportional,1.0,0.0,0.0,rule_based,0.0,full,450.0,900.0,500,59.805159135,0.014836530499209744,2.2,4.0,0.1948408650000033,1000.0000000000002,0.0,0.01409999094903469,1.0808238968227633,0.9992389503119228,2.0000000000000004,0.006365290581256397,0.9889296580963122,0,0.9366748724224953,0.982929819514305,1.0,0.0,0.0,feeder_stress_900kw_450kvar,28.851702250432776,23.421689690233784,23.41782919982808,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
101.6330220610367,load_proportional,1.0,0.0,0.0,dmpc_active_only,0.0,full,450.0,900.0,500,59.9101591924917,0.11984087232374918,2.2,4.0,0.11984087232374918,1416.7370894271119,0.0,587.3766000149772,1.0746411441820842,0.999554643710064,2.8334741788542237,226.58878347012867,0.9910786598817471,0,0.9368642558942083,0.9820569400868688,1.0,22.0,0.0,feeder_stress_900kw_450kvar,28.851702250432776,23.421689690233784,23.420372149539233,26.242891553525887,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,79.99999846614858,1.5334618883774829,11.470187519766158,23.421689690233784,feeder_load_step,1.0
