scenario,controller,fleet_size,tcl_share_percent,allocation_strategy,voltage_event_type,voltage_sag_pu,feeder_extra_load_kw,feeder_extra_load_kvar,inverter_s_rated_kva,inverter_q_max_kvar,comfort_band_c,thermal_calibration_source,thermal_ambient_temperature_c,thermal_setpoint_c,thermal_resistance_c_per_kw,thermal_capacitance_kwh_per_c,thermal_cop,measurement_delay_steps,frequency_nadir_hz,frequency_overshoot_hz,max_abs_frequency_deviation_hz,min_pcc_voltage_pu,max_pcc_voltage_pu,mean_pcc_voltage_pu,min_feeder_voltage_pu,max_feeder_voltage_pu,temperature_min_c,temperature_max_c,comfort_violation_count,comfort_violation_degree_minutes,aggregate_energy_kwh,reactive_support_kvarh,max_unit_apparent_kva,max_aggregate_p_kw,max_aggregate_q_kvar,mpc_feasibility_rate,mean_compute_time_ms,max_compute_time_ms,current_saturation_count,ramp_limited_count
fleet_300,dmpc_active_only,300,17.311021350259665,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.86815921634471,0.07784087725570998,0.13184078365529217,0.947507578458448,1.0016516534732096,0.9791557866799359,0.9129794406058258,1.0708576578704598,23.42034716389392,23.421689690233784,0.0,0.0,61.399191000069216,0.0,2.9660946247174844,889.8283874152453,0.0,1.0,241.94768595139783,699.4945000624284,0.0,10.0
fleet_300,dmpc_pq,300,17.311021350259665,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.86815921634471,0.07784087725570998,0.13184078365529217,0.9550344646185784,0.9974582976954813,0.9811231018016149,0.9198166295315505,1.0684090989403798,23.42034716389392,23.421689690233784,0.0,0.0,61.399191000069216,22.481990814208235,2.9660946247174844,889.8283874152453,536.1486148769909,1.0,232.73754214833315,565.9328000620008,0.0,10.0
fleet_300,dmpc_full_pq,300,17.311021350259665,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.86815921633612,0.07784087724484579,0.13184078366388263,0.9622749764138823,1.002151893586643,0.9865528324808209,0.9198376508301755,1.068429808092904,23.420348409675782,23.421689690233784,0.0,0.0,61.377863989837756,63.858430199035936,3.2337044196003464,879.1288882966167,660.0,1.0,545.8635545503117,733.1515999976546,0.0,10.0
fleet_500,no_support,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014840864900001804,0.1948408650000033,0.9396006822590736,1.0001414618335638,0.9750906053037344,0.8987910556631095,1.076961163640929,23.417819051935254,23.421689690233784,0.0,0.0,168.05555555555557,0.0,2.0000000000000004,1000.0000000000002,0.0,1.0,0.006641320930409037,0.013599987141788006,0.0,0.0
fleet_500,rule_based,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014836530499209744,0.1948408650000033,0.9491685137881256,0.9992389503119228,0.9787413223075502,0.9091331502368079,1.0746292409868952,23.41782919982808,23.421689690233784,0.0,0.0,167.7846470869468,39.82138744887451,2.9536606175692226,1000.0000000000002,1100.0,1.0,0.007022304983794196,0.06449990905821323,0.0,0.0
fleet_500,dmpc_active_only,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.9101591924917,0.11984087232374918,0.11984087232374918,0.9463652441108501,1.0028179449048558,0.9797960082164411,0.9108986724354322,1.0746410752671207,23.420372149539233,23.421689690233784,0.0,0.0,101.63302206103666,0.0,2.8334741788542237,1416.7370894271119,0.0,1.0,235.31364958756413,518.4847000055015,0.0,22.0
fleet_500,dmpc_pq,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.9101591924917,0.11984087232374918,0.11984087232374918,0.9540636265030364,1.001304032392456,0.9830344285861775,0.9193491868176943,1.0746410752671207,23.420372149539233,23.421689690233784,0.0,0.0,101.6330220610367,32.97982127857763,2.8334741788542237,1416.7370894271119,924.9974846960713,1.0,235.68200495879142,581.9058999186382,0.0,22.0
fleet_500,dmpc_full_pq,500,28.851702250432776,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.91015926094531,0.11984088802211801,0.11984088802211801,0.9715776162016284,1.007777555258163,0.9894506213894597,0.9198650928024887,1.0640645515188865,23.42036188888414,23.421689690233784,0.0,0.0,102.00716088396811,117.78048162253991,3.491728026601976,1407.8489597167254,1100.0,1.0,544.0934206549585,774.1331000579521,0.0,18.0
fleet_700,no_support,700,40.39238315060589,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014840864900001804,0.1948408650000033,0.9357304552350492,0.9973196215165377,0.9730877686156143,0.8919049400836971,1.080818688891613,23.417819051935254,23.421689690233784,0.0,0.0,235.2777777777778,0.0,2.0000000000000004,1400.0000000000002,0.0,1.0,0.008043799403100467,0.14420005027204752,0.0,0.0
fleet_700,rule_based,700,40.39238315060589,load_proportional,source_sag,0.92,0.0,0.0,4.0,2.2,1.0,NIST Net-Zero Energy Residential Test Facility measured minute-resolution data,26.242891553525887,23.421689690233784,11.470187519766158,79.99999846614858,1.5334618883774829,0,59.805159135,0.014834796601938649,0.1948408650000033,0.9438985492346825,0.9972200346047988,0.978865040543226,0.9007300490010187,1.080818688891613,23.4178291954423,23.421689690233784,0.0,0.0,234.89866983729218,53.31930462918008,2.9536529311392417,1400.0000000000002,1540.0000000000002,1.0,0.006614874448042271,0.015300000086426735,0.0,0.0
